Function|Category|Subcategory|Category Title|Subcategory Title|Control|Control Family|Publication|Core|Privacy Baseline|Security Control Baseline - Low|Security Control Baseline - Moderate|Security Control Baseline - High
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|MA-01|MAINTENANCE|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|MP-01|MEDIA PROTECTION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|PL-01|PLANNING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|PL-04|PLANNING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|PM-01|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|PS-01|PERSONNEL SECURITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|RA-01|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|SA-01|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|SC-01|SYSTEM AND COMMUNICATIONS PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|SI-01|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|PE-01|PHYSICAL AND ENVIRONMENT PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-2|Governance|Information security roles & responsibilities are coordinated and aligned with internal roles and external partners|PM-01|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-2|Governance|Information security roles & responsibilities are coordinated and aligned with internal roles and external partners|PS-07|PERSONNEL SECURITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-2|Governance|Information security roles & responsibilities are coordinated and aligned with internal roles and external partners|PM-02|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|AC-01|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|AT-01|Awareness and Training|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|AU-01|Audit and Accountability|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|CA-01|SECURITY ASSESSMENT AND AUTHORIZATION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|CM-01|CONFIGURATION MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|CP-01|CONTINGENCY PLANNING|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|IA-01|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|IR-01|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|MA-01|MAINTENANCE|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|MP-01|MEDIA PROTECTION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|PE-01|PHYSICAL AND ENVIRONMENT PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|PL-01|PLANNING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|PS-01|PERSONNEL SECURITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|RA-01|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|SA-01|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|SC-01|SYSTEM AND COMMUNICATIONS PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-3|Governance|Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed|SI-01|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-4|Governance|Governance and risk management processes address cybersecurity risks|PM-11|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-4|Governance|Governance and risk management processes address cybersecurity risks|PM-03|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-4|Governance|Governance and risk management processes address cybersecurity risks|PM-07|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-4|Governance|Governance and risk management processes address cybersecurity risks|PM-09|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-4|Governance|Governance and risk management processes address cybersecurity risks|PM-10|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-4|Governance|Governance and risk management processes address cybersecurity risks|SA-02|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-4|Governance|Governance and risk management processes address cybersecurity risks|CA-06|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-1|Risk Assessment|Asset vulnerabilities are identified and documented|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-1|Risk Assessment|Asset vulnerabilities are identified and documented|CA-02|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-1|Risk Assessment|Asset vulnerabilities are identified and documented|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-1|Risk Assessment|Asset vulnerabilities are identified and documented|CA-08|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity||||Yes
IDENTIFY (ID)|ID.RA|ID.RA-1|Risk Assessment|Asset vulnerabilities are identified and documented|RA-03|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-1|Risk Assessment|Asset vulnerabilities are identified and documented|RA-05|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-1|Risk Assessment|Asset vulnerabilities are identified and documented|SA-05|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-1|Risk Assessment|Asset vulnerabilities are identified and documented|SA-11|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity|Yes||Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-1|Risk Assessment|Asset vulnerabilities are identified and documented|SI-02|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-1|Risk Assessment|Asset vulnerabilities are identified and documented|SI-05|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-1|Risk Assessment|Asset vulnerabilities are identified and documented|CA-05|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-2|Risk Assessment|Threat and vulnerability information is received from information sharing forums and sources|SI-05|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-2|Risk Assessment|Threat and vulnerability information is received from information sharing forums and sources|PM-15|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-2|Risk Assessment|Threat and vulnerability information is received from information sharing forums and sources|PM-16|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-3|Risk Assessment|Threats, both internal and external, are identified and documented|RA-03|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-3|Risk Assessment|Threats, both internal and external, are identified and documented|SI-05|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-3|Risk Assessment|Threats, both internal and external, are identified and documented|PM-16|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-3|Risk Assessment|Threats, both internal and external, are identified and documented|PM-12|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-3|Risk Assessment|Threats, both internal and external, are identified and documented|CA-05|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-4|Risk Assessment|Potential business impacts and likelihoods are identified|RA-02|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-4|Risk Assessment|Potential business impacts and likelihoods are identified|SA-14|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.RA|ID.RA-4|Risk Assessment|Potential business impacts and likelihoods are identified|PM-11|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-4|Risk Assessment|Potential business impacts and likelihoods are identified|PM-09|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-4|Risk Assessment|Potential business impacts and likelihoods are identified|RA-03|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-5|Risk Assessment|Threats, vulnerabilities, likelihoods, and impacts are used to determine risk|RA-02|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-5|Risk Assessment|Threats, vulnerabilities, likelihoods, and impacts are used to determine risk|RA-03|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-5|Risk Assessment|Threats, vulnerabilities, likelihoods, and impacts are used to determine risk|PM-16|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-5|Risk Assessment|Threats, vulnerabilities, likelihoods, and impacts are used to determine risk|CA-05|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-6|Risk Assessment|Risk responses are identified and prioritized|PM-09|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-6|Risk Assessment|Risk responses are identified and prioritized|PM-04|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RA|ID.RA-6|Risk Assessment|Risk responses are identified and prioritized|CA-05|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RM|ID.RM-1|Risk Management Strategy|Risk management processes are established, managed, and agreed to by organizational stakeholders|PM-09|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RM|ID.RM-1|Risk Management Strategy|Risk management processes are established, managed, and agreed to by organizational stakeholders|CA-06|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RM|ID.RM-2|Risk Management Strategy|Organizational risk tolerance is determined and clearly expressed|PM-09|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RM|ID.RM-2|Risk Management Strategy|Organizational risk tolerance is determined and clearly expressed|CA-06|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RM|ID.RM-3|Risk Management Strategy|The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis|SA-14|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.RM|ID.RM-3|Risk Management Strategy|The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis|PM-11|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RM|ID.RM-3|Risk Management Strategy|The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis|PM-08|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.RM|ID.RM-3|Risk Management Strategy|The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis|PM-09|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-1|Supply Chain||SA-09|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-1|Supply Chain||SA-12|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.SC|ID.SC-1|Supply Chain||PM-09|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-2|Supply Chain||RA-02|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-2|Supply Chain||SA-14|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.SC|ID.SC-2|Supply Chain||SA-12|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.SC|ID.SC-2|Supply Chain||PM-09|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-2|Supply Chain||RA-03|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-2|Supply Chain||SA-15|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-3|Supply Chain||SA-09|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-3|Supply Chain||SA-12|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.SC|ID.SC-3|Supply Chain||PM-09|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-3|Supply Chain||SA-11|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity|Yes||Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-4|Supply Chain||AU-02|AUDIT AND ACCOUNTABILITY|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-4|Supply Chain||AU-06|AUDIT AND ACCOUNTABILITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-4|Supply Chain||AU-12|AUDIT AND ACCOUNTABILITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-4|Supply Chain||AU-16|AUDIT AND ACCOUNTABILITY|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.SC|ID.SC-4|Supply Chain||SA-09|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-4|Supply Chain||PS-07|PERSONNEL SECURITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-4|Supply Chain||SA-12|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.SC|ID.SC-5|Supply Chain||CP-02|CONTINGENCY PLANNING|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-5|Supply Chain||CP-04|CONTINGENCY PLANNING|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-5|Supply Chain||IR-03|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes||Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-5|Supply Chain||IR-04|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-5|Supply Chain||IR-06|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-5|Supply Chain||IR-08|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.SC|ID.SC-5|Supply Chain||IR-09|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity||||
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|IA-01|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|AC-02|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|AC-07|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|AC-08|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|AC-09|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity||||
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|IA-02|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|IA-03|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|IA-04|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|IA-05|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|IA-06|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|IA-07|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|IA-08|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|IA-09|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity||||
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|IA-10|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity||||
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|IA-11|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|SC-17|SYSTEM AND COMMUNICATIONS PROTECTION|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-1|Access Control|Identities and credentials are managed for authorized devices and users|AC-22|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-2|Access Control|Physical access to assets is managed and protected|PE-09|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-2|Access Control|Physical access to assets is managed and protected|PE-02|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-2|Access Control|Physical access to assets is managed and protected|PE-03|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-2|Access Control|Physical access to assets is managed and protected|PE-04|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-2|Access Control|Physical access to assets is managed and protected|PE-05|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-2|Access Control|Physical access to assets is managed and protected|PE-06|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-2|Access Control|Physical access to assets is managed and protected|PE-08|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
PROTECT (PR)|PR.AC|PR.AC-3|Access Control|Remote access is managed|AC-20|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
